rank,file,prediction,confidence,scientific_score,period_days,duration_hours,depth_ppm,snr
1,4455231_K01332.03.npz,planet_transit,0.9335489869117737,0.8405180338765511,56.637918,6.172,589.7,20.9
2,10858691_K01306.04.npz,planet_transit,0.9271295666694641,0.8346141767115122,29.2214959,4.014,394.0,14.6
3,3832474_K00806.03.npz,planet_transit,0.9263685345649719,0.8339189344721579,29.1598615,4.803,488.0,11.6
4,6587280_K00857.02.npz,planet_transit,0.9249613881111145,0.8326241008819916,20.0261412,1.611,421.2,10.7
5,4650733_K01659.01.npz,planet_transit,0.9242830276489258,0.8321042657073526,29.5390897,4.139,403.3,18.8
6,8410727_K01148.02.npz,planet_transit,0.9200739860534668,0.8281890909116952,25.2630467,6.22,125.5,14.3
7,7287995_K00877.03.npz,planet_transit,0.9198104739189148,0.8280425166034826,20.83762895,2.3734,439.0,14.9
8,6786348_K01749.01.npz,planet_transit,0.9187478423118591,0.8271907725817325,26.964501,3.792,601.7,20.1
9,3240158_K01106.02.npz,planet_transit,0.9164723753929138,0.8249216917042199,15.9868932,4.158,178.5,10.9
10,10538176_K01301.02.npz,planet_transit,0.915556013584137,0.8245106242637973,37.5142128,5.303,935.0,28.9
11,6604328_K01736.01.npz,planet_transit,0.9154654145240784,0.8242717456882892,31.0033072,5.253,645.2,22.1
12,1718189_K00993.01.npz,planet_transit,0.9143860936164856,0.8232338145256206,21.85362905,3.439,355.6,23.0
13,7032421_K01747.01.npz,planet_transit,0.914095401763916,0.8230319651880071,20.55848388,1.449,677.3,20.8
14,12266636_K01522.01.npz,planet_transit,0.9137027263641357,0.8228375913879739,33.3856176,5.0361,553.2,37.1
15,11176127_K01430.02.npz,planet_transit,0.9137230515480042,0.8227644401470123,22.92886314,2.0831,908.9,21.3
16,7455287_K00886.03.npz,planet_transit,0.9126089811325073,0.8216875216472044,20.99587872,2.6333,767.3,18.2
17,10004738_K01598.03.npz,planet_transit,0.912257194519043,0.8211772997333812,13.93068791,2.312,186.5,14.9
18,8150320_K00904.02.npz,planet_transit,0.9118243455886841,0.8211128738703316,27.9541337,3.95,942.5,25.4
19,10166274_K01078.03.npz,planet_transit,0.9111961126327515,0.820771806504654,28.46464804,2.6657,1629.8,28.9
20,3560301_K00968.01.npz,false_positive,0.9094333052635193,0.8195254026782758,4.6484156,38.1939,128.4,91.7
21,9818462_K01521.01.npz,planet_transit,0.9100282788276672,0.8194701671694066,25.9421582,4.045,569.7,31.6
22,2302548_K00988.02.npz,planet_transit,0.9096829891204834,0.8191487607631442,24.5709023,3.587,764.2,26.3
23,10055126_K01608.02.npz,planet_transit,0.9098019003868103,0.8190262718036971,19.7383992,4.894,168.1,20.3
24,12459725_K00789.01.npz,planet_transit,0.9096540808677673,0.818863726406876,14.1798187,2.505,459.9,11.2
25,8651389_K01754.01.npz,planet_transit,0.9090281128883362,0.8183473070361651,15.13590453,2.236,255.7,19.8
26,4072526_K01329.01.npz,planet_transit,0.908113956451416,0.8179036625915047,33.1996355,5.022,1112.5,32.6
27,10973814_K01307.02.npz,planet_transit,0.9080231189727783,0.8176299884370289,20.34237838,2.3351,564.6,28.7
28,11288505_K01433.01.npz,planet_transit,0.9069780111312866,0.8166018139251149,19.80787763,3.453,616.3,20.1
29,3231341_K01102.03.npz,planet_transit,0.9051186442375183,0.8148412286067783,18.9985279,4.529,430.7,16.9
30,12406749_K01476.01.npz,planet_transit,0.9037221074104309,0.8144755644357954,56.3587987,6.927,2559.6,44.4
31,8678594_K01261.02.npz,planet_transit,0.904007077217102,0.8138382037656233,15.19423359,3.106,367.8,18.1
