kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_steff,koi_slogg,koi_srad,label
10797460,K00752.01,CONFIRMED,9.48803557,2.9575,615.8,2.26,35.8,5455.0,4.467,0.927,planet_transit
10797460,K00752.02,CONFIRMED,54.4183827,4.507,874.8,2.83,25.8,5455.0,4.467,0.927,planet_transit
10848459,K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,505.6,5805.0,4.564,0.791,false_positive
10854555,K00755.01,CONFIRMED,2.525591777,1.6545,603.3,2.75,40.9,6031.0,4.438,1.046,planet_transit
10872983,K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,3.9,66.5,6046.0,4.486,0.972,planet_transit
10872983,K00756.02,CONFIRMED,4.13443512,3.1402,686.0,2.77,40.2,6046.0,4.486,0.972,planet_transit
10872983,K00756.03,CONFIRMED,2.56658897,2.429,226.5,1.59,15.0,6046.0,4.486,0.972,planet_transit
6721123,K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,47.7,6227.0,3.986,1.958,false_positive
10910878,K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,5.76,161.9,5031.0,4.485,0.848,planet_transit
11446443,K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,13.04,4304.3,5820.0,4.457,0.964,planet_transit
10666592,K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,16.1,5945.9,6440.0,4.019,1.952,planet_transit
6922244,K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,14.59,1741.5,6225.0,4.169,1.451,planet_transit
10984090,K00112.02,CONFIRMED,3.709214104,2.6302,131.1,1.16,50.6,5833.0,4.407,1.022,planet_transit
10419211,K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984.3,150.51,622.1,5795.0,4.554,0.848,false_positive
10464078,K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,214.7,5043.0,4.591,0.68,false_positive
10480982,K00744.01,FALSE POSITIVE,19.221388942,4.79843,74284.0,49.29,2317.0,6117.0,4.496,0.947,false_positive
10485250,K00745.01,FALSE POSITIVE,16.46983774,9.4378,10478.9,7.94,303.4,5152.0,4.517,0.786,false_positive
10526549,K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,2.47,87.2,4856.0,4.583,0.696,planet_transit
10583066,K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,2.85,65.4,4537.0,4.648,0.672,planet_transit
10583180,K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,48.2,4989.0,4.504,0.819,false_positive
10601284,K00749.01,CONFIRMED,5.349553819,3.0278,831.0,2.55,60.6,5185.0,4.44,0.91,planet_transit
10601284,K00749.02,CONFIRMED,3.94105221,2.5984,363.3,1.7,28.9,5185.0,4.44,0.91,planet_transit
10601284,K00749.03,CONFIRMED,8.10904807,3.596,217.4,1.3,14.1,5185.0,4.44,0.91,planet_transit
2306756,K00113.01,FALSE POSITIVE,386.6030528,6.8057,24926.6,41.5,994.0,5543.0,4.081,1.58,false_positive
10662202,K00750.01,CONFIRMED,21.67699193,3.4555,857.2,2.95,34.3,4954.0,4.5,0.828,planet_transit
10682541,K00751.01,CONFIRMED,4.99677968,2.1717,934.7,2.78,28.2,5339.0,4.552,0.847,planet_transit
11460018,K00769.01,CONFIRMED,4.280963604,2.875,750.8,2.3,61.8,5644.0,4.564,0.831,planet_transit
11463211,K00770.01,FALSE POSITIVE,1.50635409,1.5155,2211.7,4.53,181.1,5714.0,4.563,0.831,false_positive
11465813,K00771.01,FALSE POSITIVE,670.645531,53.412,18090.6,14.14,642.7,5520.0,4.466,0.983,false_positive
11493732,K00772.01,FALSE POSITIVE,61.2563628,7.633,5123.3,39.87,85.3,6144.0,4.402,1.091,false_positive
11507101,K00773.01,CONFIRMED,38.3775486,5.588,724.2,2.82,34.7,5481.0,4.369,1.036,planet_transit
10910878,K00757.02,CONFIRMED,41.19725502,4.6297,2213.9,3.86,51.2,5031.0,4.485,0.848,planet_transit
10910878,K00757.03,CONFIRMED,6.252962249,2.5819,1036.9,2.65,47.1,5031.0,4.485,0.848,planet_transit
10987985,K00758.01,CONFIRMED,16.01308419,3.2554,1121.9,3.1,33.2,5015.0,4.499,0.826,planet_transit
11018648,K00759.01,CONFIRMED,32.62876672,4.7971,1804.8,3.36,80.0,5586.0,4.56,0.798,planet_transit
11018648,K00759.02,CONFIRMED,91.7732862,6.473,652.0,2.12,19.1,5586.0,4.56,0.798,planet_transit
11138155,K00760.01,CONFIRMED,4.959319244,2.22739,9802.0,12.21,696.5,5712.0,4.359,1.082,planet_transit
11152159,K00761.01,FALSE POSITIVE,2.701287801,3.3827,860.4,6.54,48.3,5550.0,4.468,0.91,false_positive
11153539,K00762.01,CONFIRMED,4.49876511,3.7362,460.0,2.1,29.5,6075.0,4.486,0.969,planet_transit
11242721,K00763.01,FALSE POSITIVE,19.651209505,5.2514,11766.3,12.42,513.4,6074.0,4.391,1.063,false_positive
9579641,K00115.01,CONFIRMED,5.412203927,2.9472,601.6,2.94,166.7,5779.0,4.339,1.087,planet_transit
11304958,K00764.01,CONFIRMED,41.43958662,10.5989,2793.1,5.5,141.1,5468.0,4.367,1.046,planet_transit
11391957,K00765.01,CONFIRMED,8.35389523,2.2514,1041.6,2.52,43.4,5592.0,4.582,0.787,planet_transit
11403044,K00766.01,CONFIRMED,4.125543472,3.1744,1487.3,4.43,128.6,6174.0,4.417,1.103,planet_transit
11414511,K00767.01,CONFIRMED,2.816504904,2.50587,16813.7,12.21,1406.8,5532.0,4.452,0.955,planet_transit
11442465,K00768.01,FALSE POSITIVE,33.93373447,14.561,8503.7,7.34,236.1,5040.0,4.628,0.705,false_positive
12110942,K00786.01,CONFIRMED,3.689920099,2.6557,426.7,1.89,35.6,5880.0,4.518,0.917,planet_transit
12366084,K00787.01,CONFIRMED,4.431238488,3.15,1010.9,3.25,71.1,5714.0,4.428,1.015,planet_transit
12366084,K00787.02,CONFIRMED,11.37936986,2.6255,1023.5,3.95,37.9,5714.0,4.428,1.015,planet_transit
12404086,K00788.01,CONFIRMED,26.39432897,3.573,1510.9,3.07,48.2,5129.0,4.595,0.763,planet_transit
8395660,K00116.01,CONFIRMED,13.57078281,3.3539,511.7,2.64,88.4,5854.0,4.406,1.012,planet_transit
9579641,K00115.02,CONFIRMED,7.12594387,3.0014,192.4,1.79,47.1,5779.0,4.339,1.087,planet_transit
11656840,K00774.01,FALSE POSITIVE,7.442652004,2.3078,24446.2,15.03,835.6,6108.0,4.469,0.956,false_positive
11754553,K00775.01,CONFIRMED,16.38489988,3.0249,1127.1,2.0,28.9,4126.0,4.661,0.615,planet_transit
11754553,K00775.02,CONFIRMED,7.8774163,2.0805,1306.1,2.16,38.7,4126.0,4.661,0.615,planet_transit
11754553,K00775.03,CONFIRMED,36.4454001,4.007,1122.3,1.99,21.7,4126.0,4.661,0.615,planet_transit
11812062,K00776.01,CONFIRMED,3.728732147,2.683,5226.5,6.02,345.2,5497.0,4.577,0.809,planet_transit
11853255,K00778.01,CONFIRMED,2.243380573,1.1196,821.7,1.99,38.9,4149.0,4.698,0.564,planet_transit
11909839,K00779.01,FALSE POSITIVE,10.405998015,6.5036,14488.8,11.23,745.2,5746.0,4.393,0.924,false_positive
11918099,K00780.01,CONFIRMED,2.337437946,1.9982,971.2,2.34,82.4,5005.0,4.595,0.765,planet_transit
11923270,K00781.01,CONFIRMED,11.59822233,2.5237,2804.5,2.65,71.0,3688.0,4.79,0.473,planet_transit
11960862,K00782.01,CONFIRMED,6.575315881,4.3084,2793.3,5.31,221.1,5992.0,4.415,0.989,planet_transit
12020329,K00783.01,CONFIRMED,7.275040844,7.5377,3001.0,4.86,312.1,5485.0,4.556,0.867,planet_transit
12066335,K00784.01,CONFIRMED,19.27153892,2.7594,1219.8,1.93,37.1,4077.0,4.702,0.56,planet_transit
12066335,K00784.02,CONFIRMED,10.06524317,1.369,1053.3,1.91,30.3,4077.0,4.702,0.56,planet_transit
12070811,K00785.01,CONFIRMED,12.3935651,3.8896,916.6,2.66,35.8,5557.0,4.603,0.75,planet_transit
8395660,K00116.02,CONFIRMED,43.84439721,6.802,615.2,2.87,83.7,5854.0,4.406,1.012,planet_transit
3120431,K00798.01,FALSE POSITIVE,3.341913228,3.813,725.3,21.55,39.0,5295.0,4.551,0.811,false_positive
3246984,K00799.01,FALSE POSITIVE,1.626630225,2.1145,1620.6,32.43,103.6,5735.0,4.41,0.973,false_positive
3342970,K00800.01,CONFIRMED,2.711504086,3.0099,837.5,3.12,64.5,6214.0,4.442,1.076,planet_transit
3342970,K00800.02,CONFIRMED,7.21203748,4.0491,950.4,3.32,51.5,6214.0,4.442,1.076,planet_transit
12459725,K00789.01,FALSE POSITIVE,14.1798187,2.505,459.9,1.88,11.2,5799.0,4.539,0.878,false_positive
12470844,K00790.01,CONFIRMED,8.47237911,2.7245,1123.5,2.59,47.6,5354.0,4.587,0.788,planet_transit
12470844,K00790.02,CONFIRMED,60.4189369,5.039,931.3,2.36,20.1,5354.0,4.587,0.788,planet_transit
12644822,K00791.01,CONFIRMED,12.611904345,5.1497,6105.6,7.4,277.2,5795.0,4.508,0.919,planet_transit
2440757,K00792.01,FALSE POSITIVE,1.433769925,1.8868,1976.3,46.58,112.6,6017.0,4.22,1.339,false_positive
2445129,K00793.01,FALSE POSITIVE,10.31872301,3.836,871.7,28.59,38.2,5927.0,4.409,1.06,false_positive
2713049,K00794.01,CONFIRMED,2.539183147,2.4282,382.1,2.06,38.9,5519.0,4.35,1.062,planet_transit
3114167,K00795.01,CONFIRMED,6.770300385,2.0844,1304.0,2.77,50.8,5653.0,4.656,0.679,planet_transit
3114661,K00796.01,FALSE POSITIVE,0.444291966,2.0792,10967.4,27.51,299.7,5255.0,4.678,0.636,false_positive
4139816,K00812.02,CONFIRMED,20.06036336,3.3203,1494.7,1.96,35.2,3950.0,4.754,0.493,planet_transit
4139816,K00812.03,CONFIRMED,46.1842039,4.758,1394.7,1.83,26.0,3950.0,4.754,0.493,planet_transit
8395660,K00116.04,CONFIRMED,23.9800854,5.351,104.0,1.31,17.1,5854.0,4.406,1.012,planet_transit
4139816,K00812.04,CONFIRMED,7.82502168,2.186,520.8,1.2,15.9,3950.0,4.754,0.493,planet_transit
4275191,K00813.01,CONFIRMED,3.895936525,2.3111,8544.8,7.34,370.8,5557.0,4.592,0.774,planet_transit
4476123,K00814.01,CONFIRMED,22.36646466,5.228,986.8,2.32,32.1,5395.0,4.615,0.734,planet_transit
3351888,K00801.01,CONFIRMED,1.625522174,2.38963,7969.0,9.73,799.7,5539.0,4.322,1.106,planet_transit
3554600,K00803.01,FALSE POSITIVE,7.544039,6.222,322.6,17.47,14.2,5657.0,4.567,0.824,false_positive
3641726,K00804.01,CONFIRMED,9.02930689,3.1449,1019.8,2.57,53.9,5349.0,4.526,0.82,planet_transit
3734868,K00805.01,FALSE POSITIVE,10.328035714,7.7915,16917.7,13.28,636.8,5627.0,4.359,1.024,false_positive
3832474,K00806.01,CONFIRMED,143.2063047,8.9302,10565.7,8.9,138.8,5485.0,4.556,0.867,planet_transit
